Code,Year,Daily caloric supply (OWID based on UN FAO & historical sources),Deaths - Cause: All causes - Risk: High body-mass index - Sex: Both - Age: Age-standardized (Rate),"Indicator:Prevalence of obesity among adults, BMI &GreaterEqual; 30 (crude estimate) (%) - Sex:Both sexes","Indicator:Prevalence of overweight among adults, BMI &GreaterEqual; 25 (age-standardized estimate) (%) - Sex:Both sexes_x"
SGP,1997,,33.19,4.2,27.1
SGP,1998,,32.92,4.3,27.3
SGP,1999,,32.42,4.5,27.5
SGP,2000,,31.81,4.6,27.7
SGP,2001,,31.52,4.7,28
SGP,2002,,31.24,4.8,28.2
SGP,2003,,31.01,4.9,28.5
SGP,2004,,30.75,5.1,28.7
SGP,2005,,29.33,5.2,28.9
SGP,2006,,28.96,5.3,29.2
SGP,2007,,28.83,5.4,29.4
SGP,2008,,28.33,5.6,29.7
SGP,2009,,27.23,5.7,29.9
SGP,2010,,26.63,5.8,30.2
SGP,2011,,25.89,5.9,30.4
SGP,2012,,25.5,6.1,30.7
SGP,2013,,24.91,6.2,31
SGP,2014,,24.42,6.3,31.2
SGP,2015,,24,6.5,31.5
SGP,2016,,23.58,6.6,31.8
SVK,1993,2790,131.35,14,47.1
SVK,1994,2979,128.08,14.3,47.5
SVK,1995,2835,130.07,14.6,47.9
SVK,1996,2906,126.46,14.8,48.3
SVK,1997,2904,131.83,15.1,48.6
SVK,1998,2939,132.79,15.3,49
SVK,1999,2883,132.04,15.6,49.4
SVK,2000,2778,128.08,15.9,49.8
SVK,2001,2785,127.68,16.2,50.1
SVK,2002,2800,124.98,16.5,50.5
SVK,2003,2790,123.97,16.9,50.9
SVK,2004,2817,120.74,17.2,51.3
SVK,2005,2841,121.68,17.6,51.7
SVK,2006,2833,119.55,17.9,52.1
SVK,2007,2794,119.91,18.3,52.5
SVK,2008,2864,115.25,18.7,52.9
SVK,2009,2899,112.8,19.1,53.3
SVK,2010,2950,107.51,19.5,53.7
SVK,2011,2941,105.97,20,54.1
SVK,2012,2901,102.63,20.4,54.5
SVK,2013,2944,99.94,20.9,54.9
SVK,2014,2823,97.72,21.4,55.3
SVK,2015,2718,99.76,21.9,55.8
SVK,2016,2831,96.17,22.4,56.2
SVK,1990,,136.35,13.2,45.7
SVK,1991,,135.22,13.5,46.2
SVK,1992,,133.33,13.8,46.7
SVN,1992,2591,86.25,13.7,45.6
SVN,1993,2781,86.07,14,46
SVN,1994,2840,85.57,14.3,46.4
SVN,1995,2907,84.56,14.6,46.8
SVN,1996,3048,84.51,14.9,47.2
SVN,1997,2927,84.57,15.2,47.7
SVN,1998,2845,84.09,15.5,48.1
SVN,1999,3062,82.19,15.8,48.5
SVN,2000,3056,79.24,16.1,49
SVN,2001,3055,79.42,16.4,49.4
SVN,2002,3081,75.94,16.8,49.8
SVN,2003,3113,74.49,17.1,50.3
SVN,2004,3158,72.63,17.5,50.7
SVN,2005,3071,68.75,17.9,51.2
SVN,2006,3120,67.2,18.2,51.6
SVN,2007,3143,65.69,18.6,52.1
SVN,2008,3156,63.1,19,52.5
SVN,2009,3179,61.87,19.4,53
SVN,2010,3176,60.86,19.8,53.5
SVN,2011,3165,59.57,20.2,53.9
SVN,2012,3160,59.33,20.6,54.4
SVN,2013,3168,57.67,21.1,54.8
SVN,2014,3203,54.05,21.6,55.2
SVN,2015,3164,55.48,22,55.7
SVN,2016,3164,54.04,22.5,56.1
SVN,1990,,85.91,13,44.7
SVN,1991,,86.18,13.4,45.2
SLB,1990,2111,172.8,7.9,35.6
SLB,1991,2175,178.98,8.2,36.4
SLB,1992,2177,184.52,8.5,37.1
SLB,1993,2161,189.76,8.8,37.8
SLB,1994,2288,195.25,9.2,38.6
SLB,1995,2381,200.24,9.5,39.3
SLB,1996,2307,206,9.8,40
SLB,1997,2406,212.85,10.2,40.7
SLB,1998,2388,219.65,10.6,41.5
SLB,1999,2311,225.33,11,42.2
SLB,2000,2353,232.2,11.4,42.9
SLB,2001,2315,239,11.9,43.6
SLB,2002,2392,243.97,12.3,44.4
SLB,2003,2409,250.08,12.8,45.1
SLB,2004,2402,254.85,13.4,45.9
SLB,2005,2427,258.36,13.9,46.6
SLB,2006,2458,257.5,14.4,47.4
SLB,2007,2420,252.19,15,48.1
SLB,2008,2480,237.27,15.5,48.9
SLB,2009,2453,239.17,16.1,49.6
SLB,2010,2482,235.53,16.7,50.4
SLB,2011,2491,242.25,17.3,51.2
SLB,2012,2421,244.27,17.9,51.9
SLB,2013,2391,245.82,18.5,52.7
SLB,2014,2376,248.81,19.2,53.5
SLB,2015,2376,249.41,19.8,54.2
SLB,2016,2399,248.44,20.5,55
SOM,1990,,31.03,2.2,15.8
SOM,1991,,30.38,2.3,16.2
SOM,1992,,29.8,2.4,16.6
SOM,1993,,29.11,2.5,17
SOM,1994,,28.71,2.7,17.4
SOM,1995,,28.51,2.8,17.8
SOM,1996,,28.46,2.9,18.2
SOM,1997,,28.49,3.1,18.7
SOM,1998,,28.55,3.2,19.1
SOM,1999,,28.42,3.3,19.6
SOM,2000,,28.25,3.5,20
SOM,2001,,28.09,3.7,20.5
SOM,2002,,28.33,3.8,20.9
SOM,2003,,28.65,4,21.4
SOM,2004,,28.94,4.2,21.9
SOM,2005,,29.07,4.4,22.4
SOM,2006,,28.98,4.6,22.9
SOM,2007,,29.37,4.8,23.4
SOM,2008,,29.71,5,23.9
SOM,2009,,29.95,5.2,24.5
SOM,2010,,30.02,5.4,25
SOM,2011,,30.04,5.6,25.5
SOM,2012,,30.04,5.9,26.1
SOM,2013,,30.02,6.1,26.7
SOM,2014,,30.1,6.3,27.2
SOM,2015,,30.15,6.6,27.8
SOM,2016,,30.05,6.9,28.4
ZAF,1990,2830,101.92,13,36
ZAF,1991,2816,102.35,13.4,36.7
ZAF,1992,2796,110.07,13.8,37.3
ZAF,1993,2838,106.33,14.3,38
ZAF,1994,2826,114.9,14.7,38.7
ZAF,1995,2810,115,15.3,39.4
ZAF,1996,2796,127.02,15.8,40.1
ZAF,1997,2815,149.44,16.4,40.8
ZAF,1998,2847,155.24,17,41.6
ZAF,1999,2835,152.82,17.5,42.3
ZAF,2000,2886,159,18.1,43
ZAF,2001,2909,155.76,18.6,43.7
ZAF,2002,2906,156.23,19.1,44.4
ZAF,2003,2929,157.39,19.6,45.1
ZAF,2004,2940,155.23,20.1,45.8
ZAF,2005,2952,155.49,20.6,46.5
ZAF,2006,2927,159.66,21.1,47.2
ZAF,2007,2920,158.7,21.7,47.9
ZAF,2008,2924,159.63,22.2,48.6
ZAF,2009,2936,161.37,22.8,49.2
ZAF,2010,2992,162.39,23.3,49.9
ZAF,2011,3002,159.46,23.9,50.6
ZAF,2012,3014,156.35,24.5,51.2
ZAF,2013,3022,155.12,25.1,51.9
ZAF,2014,2976,157.96,25.8,52.5
ZAF,2015,2942,159.54,26.4,53.2
ZAF,2016,2921,157.57,27,53.8
KOR,1990,2956,48.19,1.7,19.8
KOR,1991,2950,47.1,1.8,20.4
KOR,1992,3001,45.46,1.9,21
KOR,1993,2956,44.14,2,21.5
KOR,1994,2980,43.12,2.2,22
KOR,1995,3022,41.41,2.3,22.5
KOR,1996,3060,40.21,2.4,23
KOR,1997,3074,39.6,2.6,23.4
KOR,1998,2981,39.59,2.7,23.8
KOR,1999,3096,39.66,2.8,24.2
KOR,2000,3094,39.13,2.9,24.6
KOR,2001,3081,37.91,3,25
KOR,2002,3081,36.94,3.1,25.3
KOR,2003,3059,35.74,3.3,25.7
KOR,2004,3098,34.2,3.4,26.1
KOR,2005,3102,32.65,3.5,26.4
KOR,2006,3113,30.85,3.6,26.8
KOR,2007,3139,29.35,3.7,27.1
KOR,2008,3187,27.91,3.9,27.5
KOR,2009,3203,26.8,4,27.8
KOR,2010,3281,25.98,4.1,28.2
KOR,2011,3354,25.18,4.3,28.5
KOR,2012,3325,24.48,4.4,28.9
KOR,2013,3334,23.56,4.5,29.2
KOR,2014,3333,22.79,4.6,29.6
KOR,2015,3342,22.32,4.8,29.9
KOR,2016,3347,22.02,4.9,30.3
ESP,1990,3260,57.23,15.8,50.4
ESP,1991,3410,57.16,16.1,50.9
ESP,1992,3405,56.16,16.5,51.4
ESP,1993,3308,55.81,16.8,52
ESP,1994,3304,55.34,17.2,52.5
ESP,1995,3217,55.31,17.6,52.9
ESP,1996,3357,55.16,18,53.4
ESP,1997,3302,54.26,18.4,53.9
ESP,1998,3337,54.53,18.8,54.4
ESP,1999,3331,54.81,19.2,54.8
ESP,2000,3360,53.23,19.6,55.3
ESP,2001,3332,52.17,20,55.7
ESP,2002,3359,51.68,20.4,56.2
ESP,2003,3297,51.53,20.8,56.6
ESP,2004,3246,50,21.2,57
ESP,2005,3220,49.11,21.6,57.4
ESP,2006,3227,47.4,22.1,57.9
ESP,2007,3223,46.44,22.5,58.3
ESP,2008,3208,45.19,23,58.7
ESP,2009,3205,43.52,23.5,59
ESP,2010,3183,42.08,24,59.4
ESP,2011,3192,41.21,24.5,59.8
ESP,2012,3173,40.36,25,60.2
ESP,2013,3174,39.11,25.5,60.5
ESP,2014,3163,38.43,26.1,60.9
ESP,2015,3195,38.6,26.6,61.3
ESP,2016,3274,37.7,27.1,61.6
LKA,1990,2167,42.02,1.1,10.9
LKA,1991,2187,40.42,1.2,11.2
LKA,1992,2153,41.08,1.3,11.5
LKA,1993,2095,41.43,1.3,11.8
LKA,1994,2290,43.4,1.4,12.2
LKA,1995,2221,45.4,1.5,12.5
LKA,1996,2240,47.13,1.6,12.9
LKA,1997,2270,50.59,1.7,13.3
LKA,1998,2297,50.14,1.8,13.7
LKA,1999,2384,51.88,1.9,14.1
LKA,2000,2315,53.27,2,14.5
LKA,2001,2356,52.16,2.2,14.9
LKA,2002,2331,52.83,2.3,15.4
LKA,2003,2330,55.38,2.4,15.9
LKA,2004,2348,56.76,2.6,16.3
LKA,2005,2350,58.62,2.8,16.8
LKA,2006,2376,60.12,2.9,17.4
LKA,2007,2383,61.32,3.1,17.9
LKA,2008,2443,62.72,3.3,18.4
LKA,2009,2448,63.81,3.6,19
LKA,2010,2465,64.12,3.8,19.6
LKA,2011,2491,65.82,4,20.1
LKA,2012,2512,66.5,4.3,20.7
LKA,2013,2539,66.65,4.6,21.3
LKA,2014,2618,67.23,4.8,22
LKA,2015,2645,66.52,5.1,22.6
LKA,2016,2693,67.02,5.4,23.3
SDN,2012,2301,123.96,5.6,24.8
SDN,2013,2336,127.06,5,23.3
SDN,2014,2589,129.78,5.2,23.6
SDN,2015,2592,132.11,7.3,28.9
SDN,2016,2580,133.11,7.4,28.9
SDN,1990,,94.07,2.3,16.1
SDN,1991,,94.58,2.3,16.4
SDN,1992,,95.28,2.6,17.5
SDN,1993,,95.89,2.6,17.2
SDN,1994,,96.68,2.4,16.7
SDN,1995,,97.35,2.3,16.4
SDN,1996,,97.88,3,18.7
SDN,1997,,98.28,2.4,16.6
SDN,1998,,98.72,3.1,18.9
SDN,1999,,99.16,4.5,23.2
SDN,2000,,99.56,4.7,23.7
SDN,2001,,100.37,4.2,22
SDN,2002,,102.04,3.2,19
SDN,2003,,103.7,3.7,20.8
SDN,2004,,105.65,4.9,23.9
SDN,2005,,107.43,4.1,21.7
SDN,2006,,109.08,3.8,20.5
SDN,2007,,111,4.9,23.7
SDN,2008,,113.32,5.1,24.2
SDN,2009,,115.92,4.5,22.2
SDN,2010,,118.37,5.6,25.2
SDN,2011,,120.77,5.3,24.2
SUR,1990,2445,92.7,13.2,43.7
SUR,1991,2547,96.78,13.6,44.3
SUR,1992,2507,99.65,14,44.8
SUR,1993,2542,105.2,14.5,45.4
SUR,1994,2513,97.5,14.9,46
SUR,1995,2548,82.8,15.4,46.6
SUR,1996,2585,80.66,15.8,47.2
SUR,1997,2544,81.16,16.3,47.9
SUR,1998,2562,86.53,16.8,48.5
SUR,1999,2491,92.57,17.3,49.1
SUR,2000,2545,94.79,17.8,49.7
SUR,2001,2506,97.68,18.3,50.3
SUR,2002,2557,102.22,18.8,50.9
SUR,2003,2559,103.68,19.3,51.5
SUR,2004,2557,103.69,19.8,52.1
SUR,2005,2614,100.55,20.3,52.7
SUR,2006,2632,98.11,20.8,53.3
SUR,2007,2670,96.18,21.3,53.9
SUR,2008,2645,96.14,21.9,54.5
SUR,2009,2736,96.1,22.5,55
SUR,2010,2795,95.96,23,55.6
SUR,2011,2712,94.62,23.6,56.2
SUR,2012,2726,94.04,24.2,56.7
SUR,2013,2753,97.41,24.8,57.3
SUR,2014,2764,101.22,25.3,57.8
SUR,2015,2716,105.41,25.9,58.4
SUR,2016,2705,107.3,26.5,58.9
SWE,1990,2973,51.52,12.1,44.7
SWE,1991,2942,51.5,12.4,45.2
SWE,1992,3053,50.76,12.7,45.6
SWE,1993,3137,50.33,13,46.1
SWE,1994,3087,48.51,13.4,46.6
SWE,1995,3088,48.24,13.7,47.1
SWE,1996,3039,47.68,14.1,47.6
SWE,1997,3087,46.91,14.5,48.1
SWE,1998,3063,46.31,14.9,48.6
SWE,1999,3115,45.85,15.3,49.1
SWE,2000,3099,44.97,15.7,49.6
SWE,2001,3124,44.41,16.2,50.1
SWE,2002,3133,43.87,16.6,50.5
SWE,2003,3124,42.85,16.9,51
SWE,2004,3147,42.23,17.3,51.4
SWE,2005,3122,41.21,17.7,51.8
SWE,2006,3091,40.76,18.1,52.3
SWE,2007,3089,40.16,18.5,52.7
SWE,2008,3128,39.38,18.8,53.1
SWE,2009,3126,38.91,19.2,53.5
SWE,2010,3151,38.34,19.6,53.9
SWE,2011,3157,38.14,20,54.4
SWE,2012,3170,37.78,20.4,54.8
SWE,2013,3179,37.44,20.8,55.2
SWE,2014,3198,36.95,21.2,55.6
SWE,2015,3182,36.76,21.6,56
SWE,2016,3192,36.75,22.1,56.4
CHE,1990,3441,47.05,10.3,41.7
CHE,1991,3350,46.34,10.9,42.7
CHE,1992,3420,45.04,11.4,43.5
CHE,1993,3358,43.91,11.9,44.3
CHE,1994,3332,43.26,12.4,44.9
CHE,1995,3311,43.71,12.9,45.6
CHE,1996,3340,42.41,13.3,46.1
CHE,1997,3318,41.58,13.7,46.7
CHE,1998,3327,40.65,14.1,47.1
CHE,1999,3324,39.73,14.6,47.6
CHE,2000,3440,39.15,14.9,48
CHE,2001,3380,37.78,15.3,48.4
CHE,2002,3436,37.25,15.7,48.8
CHE,2003,3432,36.75,16.1,49.2
CHE,2004,3412,35.42,16.5,49.7
CHE,2005,3386,34.52,16.8,50.1
CHE,2006,3432,33.76,17.2,50.5
CHE,2007,3428,33.18,17.6,50.9
CHE,2008,3445,32.58,18,51.2
CHE,2009,3465,32.18,18.4,51.6
CHE,2010,3448,31.48,18.8,52
CHE,2011,3491,30.73,19.2,52.4
CHE,2012,3382,30.64,19.6,52.8
CHE,2013,3391,30.34,19.9,53.1
CHE,2014,3421,29.87,20.4,53.5
CHE,2015,3398,29.7,20.8,53.9
CHE,2016,3364,29.32,21.2,54.3
SYR,1990,,141.86,11.3,43.5
SYR,1991,,147.24,11.6,44.2
SYR,1992,,156.09,12,44.8
SYR,1993,,152.62,12.3,45.5
SYR,1994,,155.68,12.7,46.1
SYR,1995,,159.37,13,46.8
SYR,1996,,160.24,13.4,47.4
SYR,1997,,161.88,13.9,48.1
SYR,1998,,167.85,14.3,48.8
SYR,1999,,165.19,14.7,49.5
SYR,2000,,160.24,15.2,50.2
SYR,2001,,151.83,15.7,50.8
SYR,2002,,149.87,16.1,51.5
SYR,2003,,141.06,16.6,52.2
SYR,2004,,138.99,17.2,52.8
SYR,2005,,135.25,17.8,53.5
SYR,2006,,134.03,18.4,54.2
SYR,2007,,135.3,19,54.9
SYR,2008,,139.04,19.7,55.7
SYR,2009,,137.51,20.4,56.4
SYR,2010,,138.02,21.2,57.1
SYR,2011,,138.82,21.9,57.8
SYR,2012,,139.28,22.7,58.5
SYR,2013,,140.9,23.5,59.3
SYR,2014,,142.12,24.3,60
SYR,2015,,142.41,25,60.7
SYR,2016,,143.52,25.8,61.4
TJK,1992,2045,65.89,5.4,32.3
TJK,1993,2067,68.63,5.6,32.7
TJK,1994,2030,74.32,5.7,33.1
TJK,1995,1974,71.63,5.8,33.4
TJK,1996,1934,67.89,6,33.8
TJK,1997,1914,65.34,6.1,34.2
TJK,1998,1935,64.78,6.3,34.5
TJK,1999,1937,63.72,6.5,34.9
TJK,2000,1959,63.73,6.6,35.3
TJK,2001,1962,65.43,6.8,35.8
TJK,2002,1942,67.53,7,36.3
TJK,2003,1956,69.92,7.3,36.8
TJK,2004,1979,72.4,7.5,37.3
TJK,2005,2057,75.81,7.8,37.9
TJK,2006,2063,77.27,8.1,38.5
TJK,2007,2064,79.07,8.4,39.1
TJK,2008,2082,80.07,8.8,39.8
TJK,2009,2097,81.21,9.1,40.4
TJK,2010,2105,84.54,9.5,41.1
TJK,2011,2049,87.84,10,41.8
TJK,2012,2159,91.04,10.4,42.5
TJK,2013,2201,93.33,10.9,43.2
TJK,2014,2091,98.64,11.4,43.9
TJK,2015,2094,104.01,12,44.6
TJK,2016,2102,109.44,12.6,45.3
TJK,1990,,58.2,5.1,31.6
TJK,1991,,61.3,5.3,32
TZA,1990,2187,52.44,1.9,14.1
TZA,1991,2231,51.95,2,14.5
TZA,1992,2145,51.73,2.1,14.9
TZA,1993,2100,51.65,2.2,15.3
TZA,1994,2084,51.71,2.3,15.8
TZA,1995,2030,51.73,2.4,16.2
TZA,1996,2040,51.43,2.6,16.6
TZA,1997,2004,51.59,2.7,17.1
TZA,1998,2077,52.25,2.8,17.5
TZA,1999,2060,51.75,3,18
TZA,2000,2005,50.99,3.1,18.4
TZA,2001,2031,50.81,3.3,18.9
TZA,2002,2109,51.41,3.5,19.4
TZA,2003,1983,52.74,3.6,19.9
TZA,2004,2098,54.04,3.8,20.4
TZA,2005,2134,55.11,4,20.9
TZA,2006,2141,56.49,4.2,21.5
TZA,2007,2215,57.89,4.5,22
TZA,2008,2132,59.19,4.7,22.6
TZA,2009,2133,60.33,5,23.2
TZA,2010,2097,61.23,5.2,23.8
TZA,2011,2200,62.25,5.5,24.4
TZA,2012,2192,63.64,5.8,25.1
TZA,2013,2208,64.97,6.1,25.7
TZA,2014,2339,65.83,6.4,26.4
TZA,2015,2358,66.91,6.8,27
TZA,2016,2381,68.82,7.1,27.7
THA,1990,2180,27.27,2,14.2
THA,1991,2260,28.71,2.1,14.6
THA,1992,2271,29.84,2.2,15
THA,1993,2265,31.1,2.4,15.5
THA,1994,2363,32.62,2.5,15.9
THA,1995,2415,34.02,2.7,16.4
THA,1996,2558,35.73,2.9,16.9
THA,1997,2539,34.46,3,17.4
THA,1998,2600,36.06,3.3,17.9
THA,1999,2558,39.52,3.5,18.4
THA,2000,2604,40.03,3.7,18.9
THA,2001,2578,37.77,3.9,19.5
THA,2002,2630,38.09,4.2,20.1
THA,2003,2642,37.55,4.5,20.8
THA,2004,2651,37.84,4.8,21.5
THA,2005,2720,37.67,5.1,22.3
THA,2006,2796,37.7,5.5,23.1
THA,2007,2766,37.67,5.9,24
THA,2008,2757,37.82,6.4,24.9
THA,2009,2734,37.78,6.8,25.8
THA,2010,2756,38.48,7.3,26.7
THA,2011,2760,38.47,7.9,27.6
THA,2012,2784,38.47,8.4,28.6
THA,2013,2784,38.45,9,29.6
THA,2014,2771,39.18,9.5,30.6
THA,2015,2782,39.9,10.1,31.6
THA,2016,2808,41.29,10.8,32.6
TLS,1990,1817,17.55,0.6,9.3
TLS,1991,1933,17.2,0.6,9.6
TLS,1992,1986,17.11,0.7,9.9
TLS,1993,2032,17,0.7,10.3
TLS,1994,2006,16.74,0.8,10.6
TLS,1995,2033,16.44,0.8,11
TLS,1996,1888,16.1,0.9,11.4
TLS,1997,1923,15.58,1,11.7
TLS,1998,1798,15.52,1.1,12.1
TLS,1999,1829,15.46,1.1,12.5
TLS,2000,1872,15.6,1.2,12.9
TLS,2001,1940,15.74,1.3,13.4
TLS,2002,2063,16.04,1.4,13.8
TLS,2003,2058,16.74,1.4,14.2
TLS,2004,2040,16.95,1.5,14.7
TLS,2005,2031,17.27,1.6,15.2
TLS,2006,2038,17.43,1.7,15.7
TLS,2007,2046,18.05,1.8,16.2
TLS,2008,2061,18.58,1.9,16.7
TLS,2009,2040,19.93,2,17.3
TLS,2010,2082,21.08,2.1,17.8
TLS,2011,2105,23.01,2.3,18.4
TLS,2012,2150,24.86,2.4,19
TLS,2013,2131,26.69,2.5,19.6
TLS,2014,2236,28.41,2.6,20.3
TLS,2015,2262,29.48,2.8,20.9
TLS,2016,2259,30.22,2.9,21.6
TGO,1990,2091,42.3,2,14.7
TGO,1991,1930,43.27,2.1,15.2
TGO,1992,1896,44.33,2.2,15.6
TGO,1993,1959,45.56,2.4,16
TGO,1994,2042,46.87,2.5,16.5
TGO,1995,2046,48.05,2.6,16.9
TGO,1996,2112,49.61,2.8,17.4
TGO,1997,2154,51.67,2.9,17.8
TGO,1998,2123,53.64,3,18.3
TGO,1999,2149,54.76,3.2,18.8
TGO,2000,2171,56.14,3.3,19.3
TGO,2001,2155,57.12,3.5,19.8
TGO,2002,2157,58.05,3.7,20.3
TGO,2003,2199,58.97,3.9,20.8
TGO,2004,2246,58.81,4,21.3
TGO,2005,2238,59.31,4.2,21.9
TGO,2006,2283,60.1,4.4,22.4
TGO,2007,2295,61.52,4.7,23
TGO,2008,2316,63.65,4.9,23.5
TGO,2009,2340,65.18,5.1,24.1
TGO,2010,2370,66,5.4,24.6
TGO,2011,2383,66.55,5.6,25.2
TGO,2012,2414,66.67,5.9,25.8
TGO,2013,2454,66.81,6.2,26.3
TGO,2014,2433,67.53,6.5,26.9
TGO,2015,2429,68.82,6.8,27.5
TGO,2016,2421,70.19,7.1,28.1
TON,1990,,119.23,26.1,63.9
TON,1991,,121.01,27,64.6
TON,1992,,121.99,28,65.3
TON,1993,,124.77,29,65.9
TON,1994,,127.3,29.9,66.6
TON,1995,,128.08,30.8,67.2
TON,1996,,130.72,31.5,67.8
TON,1997,,134.73,32.1,68.4
TON,1998,,142.17,32.7,69
TON,1999,,149.69,33.3,69.6
TON,2000,,151.42,34,70.2
TON,2001,,151.39,34.7,70.8
TON,2002,,154.26,35.5,71.4
TON,2003,,157.33,36.3,72
TON,2004,,156.87,37.2,72.5
TON,2005,,151.22,38,73.1
TON,2006,,148.56,38.8,73.6
TON,2007,,146.98,39.6,74.2
TON,2008,,145,40.4,74.7
TON,2009,,143.14,41.1,75.2
TON,2010,,142.15,41.9,75.7
TON,2011,,142.05,42.6,76.2
TON,2012,,142.26,43.3,76.7
TON,2013,,142.85,44,77.2
TON,2014,,143.56,44.6,77.6
TON,2015,,144.18,45.3,78.1
TON,2016,,145.02,45.9,78.5
TTO,1990,2626,176.09,6.3,27.7
TTO,1991,2668,172.93,6.6,28.3
TTO,1992,2568,172.43,6.9,28.9
TTO,1993,2546,177.96,7.3,29.5
TTO,1994,2550,179.54,7.6,30.2
TTO,1995,2596,171.19,8,30.9
TTO,1996,2640,174.62,8.4,31.6
TTO,1997,2616,167.55,8.8,32.3
TTO,1998,2664,173.55,9.3,33.1
TTO,1999,2674,174.26,9.7,33.9
TTO,2000,2777,164.81,10.2,34.6
TTO,2001,2832,163.64,10.6,35.4
TTO,2002,2790,157.27,11.1,36.1
TTO,2003,2749,161.28,11.6,36.9
TTO,2004,2776,157.06,12.1,37.6
TTO,2005,2756,152.63,12.6,38.3
TTO,2006,2801,146.77,13.1,39
TTO,2007,2845,144.8,13.6,39.7
TTO,2008,2828,148.08,14.2,40.4
TTO,2009,2841,139.53,14.8,41.1
TTO,2010,2841,136.19,15.4,41.7
TTO,2011,2906,131.67,16.1,42.4
TTO,2012,2989,126.74,16.7,43.1
TTO,2013,3052,129.87,17.4,43.9
TTO,2014,2987,132.36,18.2,44.6
TTO,2015,2985,134.3,18.9,45.3
TTO,2016,2966,137.79,19.7,46
TUN,1990,3154,89.59,11.7,43.5
TUN,1991,3111,92.12,12.2,44.3
TUN,1992,3144,92.99,12.6,45.1
TUN,1993,3165,93.79,13.2,45.9
TUN,1994,3113,92.83,13.7,46.7
TUN,1995,3125,96.52,14.2,47.4
TUN,1996,3199,96.35,14.7,48.2
TUN,1997,3246,97.24,15.2,48.9
TUN,1998,3303,97.77,15.7,49.7
TUN,1999,3374,97.41,16.2,50.4
TUN,2000,3251,96.84,16.7,51.1
TUN,2001,3257,96.7,17.2,51.8
TUN,2002,3191,96.8,17.8,52.5
TUN,2003,3240,96.78,18.4,53.2
TUN,2004,3248,97.14,18.9,53.8
TUN,2005,3220,97.52,19.5,54.5
TUN,2006,3273,97.98,20.1,55.2
TUN,2007,3252,98.74,20.7,55.9
TUN,2008,3302,99.75,21.4,56.5
TUN,2009,3335,100.45,22,57.2
TUN,2010,3326,101.2,22.7,57.8
TUN,2011,3360,101.53,23.4,58.5
TUN,2012,3390,101.83,24.1,59.1
TUN,2013,3349,102.38,24.9,59.7
TUN,2014,3435,102.62,25.7,60.4
TUN,2015,3454,102.68,26.4,61
TUN,2016,3451,102.58,27.3,61.6
TUR,1990,3775,127.59,14.7,48.4
TUR,1991,3724,127.53,15.3,49.3
TUR,1992,3710,126.44,15.9,50.3
TUR,1993,3729,125.96,16.5,51.2
TUR,1994,3728,126,17.1,52
TUR,1995,3715,124.45,17.7,52.8
TUR,1996,3686,120.64,18.3,53.5
TUR,1997,3604,118.71,18.8,54.3
TUR,1998,3658,115.29,19.4,55
TUR,1999,3618,109.51,20,55.7
TUR,2000,3662,102.55,20.5,56.4
TUR,2001,3621,101.81,21.1,57.1
TUR,2002,3607,101.78,21.8,57.7
TUR,2003,3588,98.81,22.4,58.4
TUR,2004,3609,95.45,23.1,59.1
TUR,2005,3611,92.47,23.8,59.8
TUR,2006,3647,92.65,24.5,60.5
TUR,2007,3630,93.31,25.2,61.1
TUR,2008,3595,95.42,25.9,61.8
TUR,2009,3621,98.68,26.7,62.4
TUR,2010,3650,99.25,27.4,63.1
TUR,2011,3674,98.67,28.2,63.7
TUR,2012,3690,97.74,29,64.4
TUR,2013,3706,98.49,29.8,65
TUR,2014,3659,98.55,30.6,65.6
TUR,2015,3723,97.25,31.4,66.2
TUR,2016,3690,96.96,32.2,66.8
TKM,1992,2561,147.59,7.3,36.9
TKM,1993,2578,167.69,7.6,37.3
TKM,1994,2546,173.85,7.8,37.8
TKM,1995,2539,171.83,8.1,38.3
TKM,1996,2509,177.95,8.3,38.8
TKM,1997,2540,177.46,8.6,39.3
TKM,1998,2560,174.08,8.9,39.8
TKM,1999,2603,170.28,9.3,40.4
TKM,2000,2613,165.52,9.6,41
TKM,2001,2623,165.89,9.9,41.6
TKM,2002,2682,173.88,10.3,42.2
TKM,2003,2742,180.09,10.7,42.8
TKM,2004,2814,189.51,11.1,43.5
TKM,2005,2831,199.37,11.5,44.1
TKM,2006,2835,198.65,11.9,44.8
TKM,2007,2901,195.28,12.3,45.5
TKM,2008,2872,188,12.8,46.1
TKM,2009,2874,170.38,13.3,46.8
TKM,2010,2866,164.39,13.8,47.5
TKM,2011,2851,167.61,14.3,48.2
TKM,2012,2842,169.73,14.9,48.9
TKM,2013,2840,174.69,15.5,49.6
TKM,2014,2904,178.76,16.1,50.4
TKM,2015,2903,181.03,16.8,51.1
TKM,2016,2877,181.01,17.5,51.8
TKM,1990,,137.7,6.9,36
TKM,1991,,143.39,7.1,36.4
TUV,1990,,145.93,27.2,65.2
TUV,1991,,150.52,28.3,66.2
TUV,1992,,155.02,29.4,67
TUV,1993,,159.53,30.4,67.9
TUV,1994,,161.86,31.5,68.7
TUV,1995,,166.7,32.5,69.5
TUV,1996,,170.73,33.6,70.2
TUV,1997,,175.62,34.5,70.9
TUV,1998,,177.61,35.5,71.6
TUV,1999,,180.73,36.4,72.2
TUV,2000,,183.49,37.3,72.8
TUV,2001,,185.65,38.2,73.4
